,pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
32,59,British Columbia,Colombie-Britannique,03-03-2020,12,0,0.0,12,,,,,4,50.0,0.24,0.0,0.0,0.0,,,100.0,12.0,0.24,,,,,,,,
33,24,Quebec,Québec,03-03-2020,1,0,0.0,1,,,,,0,0.0,0.01,0.0,0.0,0.0,,,100.0,1.0,0.01,,,,,,,,
34,1,Canada,Canada,03-03-2020,33,0,0.0,33,,,,,9,37.5,0.09,0.0,0.0,0.0,,,100.0,33.0,0.09,,,,,,,,
35,35,Ontario,Ontario,05-03-2020,22,0,0.0,22,,,,,2,10.0,0.15,0.0,0.0,0.0,,,100.0,22.0,0.15,,,,,,,,
36,59,British Columbia,Colombie-Britannique,05-03-2020,21,0,0.0,21,,,,,9,75.0,0.41,0.0,0.0,0.0,,,100.0,21.0,0.41,,,,,,,,
37,24,Quebec,Québec,05-03-2020,2,0,0.0,2,,,,,1,100.0,0.02,0.0,0.0,0.0,,,100.0,2.0,0.02,,,,,,,,
38,1,Canada,Canada,05-03-2020,45,0,0.0,45,,,,,12,36.36,0.12,0.0,0.0,0.0,,,100.0,45.0,0.12,,,,,,,,
39,35,Ontario,Ontario,06-03-2020,28,0,0.0,28,,,,,6,27.27,0.19,0.0,0.0,0.0,,,100.0,28.0,0.19,,,,,,,,
40,59,British Columbia,Colombie-Britannique,06-03-2020,21,0,0.0,21,,,,,0,0.0,0.41,0.0,0.0,0.0,,,100.0,21.0,0.41,,,,,,,,
41,24,Quebec,Québec,06-03-2020,2,0,0.0,2,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,2.0,0.02,,,,,,,,
42,1,Canada,Canada,06-03-2020,51,0,0.0,51,,,,,6,13.33,0.14,0.0,0.0,0.0,,,100.0,51.0,0.14,,,,,,,,
43,35,Ontario,Ontario,07-03-2020,28,0,0.0,28,,,,,0,0.0,0.19,0.0,0.0,0.0,,,100.0,28.0,0.19,,,,,,,,
44,59,British Columbia,Colombie-Britannique,07-03-2020,27,0,0.0,27,,,,,6,28.57,0.53,0.0,0.0,0.0,,,100.0,27.0,0.53,,,,,,,,
45,24,Quebec,Québec,07-03-2020,2,0,0.0,2,,,,,0,0.0,0.02,0.0,0.0,0.0,,,100.0,2.0,0.02,,,,,,,,
46,1,Canada,Canada,07-03-2020,57,0,0.0,57,,,,,6,11.76,0.15,0.0,0.0,0.0,,,100.0,57.0,0.15,,,,,,,,
47,35,Ontario,Ontario,08-03-2020,31,0,0.0,31,,,,,3,10.71,0.21,0.0,0.0,0.0,,,100.0,31.0,0.21,,,,,,,,
48,59,British Columbia,Colombie-Britannique,08-03-2020,27,0,1.0,27,,,,,0,0.0,0.53,0.02,1.0,3.7,,,96.3,26.0,0.51,,,,,,,,
49,24,Quebec,Québec,08-03-2020,3,0,0.0,3,,,,,1,50.0,0.04,0.0,0.0,0.0,,,100.0,3.0,0.04,,,,,,,,
50,48,Alberta,Alberta,08-03-2020,1,0,0.0,1,,,,,1,100.0,0.02,0.0,0.0,0.0,,,100.0,1.0,0.02,,,,,,,,
51,1,Canada,Canada,08-03-2020,62,0,1.0,62,,,,,5,8.77,0.16,0.0,1.0,1.61,,,98.39,61.0,0.16,,,,,,,,
52,35,Ontario,Ontario,09-03-2020,34,0,0.0,34,,,,,3,9.68,0.23,0.0,0.0,0.0,,,100.0,34.0,0.23,,,,,,,,
53,59,British Columbia,Colombie-Britannique,09-03-2020,32,0,1.0,32,,,,,5,18.52,0.63,0.02,0.0,3.13,,,96.88,31.0,0.61,,,,,,,,
54,24,Quebec,Québec,09-03-2020,4,0,0.0,4,,,,,1,33.33,0.05,0.0,0.0,0.0,,,100.0,4.0,0.05,,,,,,,,
